sample	genefamilies_UNMAPPED	pathabundance_UNMAPPED	pathabundance_UNINTEGRATED	detected_pathways	qc_flags
SRR22709728	6352447.0	1680215.744670593	13704927.64060678	125	high_PA_UNINTEGRATED
SRR22709729	6268704.0	733091.283634521	1673607.9159162135	2	hard_low_pathways
SRR22709730	5032631.0	1250455.4588700077	7358959.211193288	274	ok
SRR22709731	6867602.0	1469247.7175702772	2323239.5603413326	42	ok
SRR22709732	4412366.0	861920.4892676861	1940572.0912231398	12	hard_low_pathways
SRR22709733	4605621.0	1363650.8077921718	8051376.908433712	41	ok
SRR22709734	4464978.0	1140561.5977696008	4971448.458691822	201	ok
SRR22709735	5633148.0	1736082.2723793117	3323239.2729533096	68	ok
SRR22709736	4152688.0	1167051.4056994608	3371182.756892361	335	ok
SRR22709737	4354073.0	1147899.424293996	3357883.791041728	119	ok
SRR22709738	5238580.0	1749594.5738831006	6067367.849651622	291	ok
SRR22709739	3789792.0	1115681.9949458467	6994863.996155759	297	ok
SRR22709740	4485576.0	1294088.2925894985	5484241.736276492	267	ok
SRR22709741	665701.0	181064.3448892155	174238.6406876247	118	ok
SRR22709742	4894172.0	1427708.4343504016	3559320.6223521046	285	ok
SRR22709743	5931891.0	1998021.5160009756	7190007.740929348	227	high_PA_UNMAPPED
SRR22709744	5938503.0	1623142.1987201185	4829756.045065312	198	ok
SRR22709745	3949322.0	1141981.9510345242	5183052.158444062	142	ok
SRR22709746	4845189.0	1489513.743036481	5596402.539046764	429	ok
SRR22709747	5099696.0	631522.6229107796	1560697.597682056	22	borderline_low_pathways
SRR22709748	3572223.0	986417.7281613388	2038307.9763966226	232	ok
SRR22709749	4849922.0	938925.0330756451	936499.6727380173	29	borderline_low_pathways
SRR22709750	4268541.0	634700.4920228516	2237971.0817134483	154	ok
SRR22709751	6876086.0	1488285.0309106032	2394288.5994659923	109	ok
SRR22709752	5585589.0	1269946.5845737683	1328257.7845358436	138	ok
SRR22709753	4866532.0	1297781.7521579715	3143109.2860826086	177	ok
SRR22709754	2214880.0	682970.3371493255	1836928.291222377	156	ok
SRR22709755	4317291.0	1234843.5156098893	11286613.782760581	315	high_PA_UNINTEGRATED
SRR22709756	5224642.0	1661146.1806717187	5307594.594336392	408	ok
SRR22709757	4764184.0	1137965.9502190016	4122611.543046653	267	ok
SRR22709758	4506940.0	1293775.9959252316	4582529.394689224	176	ok
SRR22709759	3708902.0	1197742.6155485734	7355127.506393065	530	ok
SRR22709760	4059971.0	1220312.477077162	5991927.207799615	137	ok
SRR22709761	5379329.0	1608532.8268445504	4828358.317441058	131	ok
SRR22709762	3411713.0	753548.0949023035	3003098.6638694224	26	borderline_low_pathways
SRR22709763	5364904.0	1413956.449610966	7620390.822444549	93	ok
SRR22709764	5870167.0	1620926.5552859146	2833111.6396518727	136	ok
SRR22709765	5804717.0	1332661.8181498502	3209696.2434122832	147	ok
SRR22709766	5100147.0	1375488.3963747055	6707374.481827027	314	ok
SRR22709767	4158926.0	1184630.4294309933	4318409.721971564	617	ok
SRR22709768	3579245.0	1081252.9436825602	4813499.995877166	264	ok
SRR22709769	6309327.0	1142949.5554937543	1378141.7047975124	35	ok
SRR22709770	5407589.0	1679740.542387672	7811920.633087746	461	ok
SRR22709771	4081473.0	1062323.4672054192	3405125.946224512	87	ok
SRR22709772	4584477.0	1262321.1129387876	4895214.03030664	252	ok
SRR22709773	3414440.0	1046830.1837912691	4268887.304246749	194	ok
SRR22709774	4453847.0	1127776.5223382162	3331418.0768576628	344	ok
SRR22709775	3527547.0	623136.1825145455	2199455.6314024916	117	ok
SRR22709776	4745852.0	1041074.885565716	1907988.673031958	194	ok
SRR22709777	4744834.0	1303779.35793803	3295972.2372315363	216	ok
SRR22709778	4428750.0	936861.6572107677	3247964.8208451075	19	borderline_low_pathways
SRR22709779	5627302.0	232251.7723935751	303752.6380638896	9	hard_low_pathways
SRR22709780	4301711.0	1240722.3303123275	4788784.090003451	222	ok
SRR22709781	6391752.0	1229835.637007743	2426276.618571545	131	ok
SRR22709782	5194677.0	1314225.1611742848	3773706.334059241	110	ok
SRR22709783	4985675.0	1401028.6841282055	5841523.795384548	50	ok
SRR22709784	3906061.0	1132068.2018331175	7649709.17225218	676	ok
SRR22709785	6111157.0	1107284.907407541	2727643.5090771783	22	borderline_low_pathways
SRR22709786	3913286.0	923752.1379714862	3016266.3346162	42	ok
SRR22709787	5366141.0	935324.7247792307	2691216.249533079	22	borderline_low_pathways
SRR22709788	4604825.0	1391412.2645014909	6986220.715243169	464	ok
SRR22709789	5166021.0	871244.1334172996	2757037.555548553	75	ok
SRR22709790	5623876.0	1777112.0471734093	9490134.646070065	440	ok
SRR22709791	4816868.0	1021661.0278025905	3794489.1843670206	28	borderline_low_pathways
SRR22709792	5983171.0	1580800.345770676	8086278.091292383	158	ok
SRR22709793	3681570.0	1126485.288428166	3344464.1349986163	389	ok
SRR22709794	4178993.0	1207056.1951261675	5227374.9629615005	355	ok
SRR22709795	4827578.0	1207128.5871367543	3674354.9789084797	315	ok
SRR22709796	4883969.0	1219101.8584861055	2755231.6743643177	66	ok
SRR22709797	3960461.0	1150158.4156500734	3747911.4661929524	248	ok
SRR22709798	6686252.0	1539619.7094887695	4303785.886698065	144	ok
SRR22709799	4551839.0	1197251.0414319846	4812515.025413508	199	ok
SRR22709800	5443979.0	863428.4418005982	1814591.2649546708	134	ok
SRR22709801	3942138.0	955851.8739497946	5831555.637019422	133	ok
SRR22709802	5402581.0	1044745.14870604	4364303.958028223	199	ok
SRR22709803	5041510.0	1657565.9109242246	7604926.120852908	413	ok
SRR22709804	4111242.0	534271.5906338803	1050307.1058475007	19	borderline_low_pathways
SRR22709805	4148435.0	1310265.3107326496	5269658.805349966	493	ok
SRR22709806	5660734.0	298651.7604338176	417107.1629201556	3	hard_low_pathways
SRR22709807	4425750.0	1415716.612261651	4664291.818844674	62	ok
SRR22709808	6283308.0	1465743.0714150583	2668925.478683189	40	ok
SRR22709809	4834757.0	1271036.6299720367	3054476.1858975454	247	ok
SRR22709810	4711392.0	1140054.3546318195	1508416.204092799	62	ok
SRR22709811	5555990.0	1340958.736534528	1894421.966656975	168	ok
SRR22709812	6387561.0	1259351.387543227	2761565.112042818	316	ok
SRR22709813	4425246.0	1995550.0672090834	2557714.3054842977	7	hard_low_pathways,high_PA_UNMAPPED
SRR22709814	4755881.0	1459724.6153091064	4533282.328870655	151	ok
SRR22709815	5453464.0	980643.802511096	7650340.067700937	211	ok
SRR22709816	4410348.0	1047142.7553333937	3896134.20185074	126	ok
SRR22709817	4537185.0	1265138.5879909561	2165382.3996565966	218	ok
SRR22709818	5503441.0	1257415.7694802892	1823023.847132187	17	borderline_low_pathways
SRR22709819	7194455.0	1790234.161122952	4097290.498276053	287	ok
SRR22709820	5605804.0	651923.7842321058	2156500.0411944888	81	ok
SRR22709821	5390798.0	1352891.8512504473	4417634.252122428	24	borderline_low_pathways
SRR22709822	5177299.0	1079319.6428298089	5639790.952006997	62	ok
SRR22709823	4445069.0	1168126.115721089	4688452.345149627	263	ok
SRR22709824	3805699.0	1185268.989851535	7815852.201823724	638	ok
SRR22709825	3920019.0	1214302.614704491	5214253.710309876	663	ok
SRR22709826	7787757.0	2339122.5133035462	5588826.521856279	260	high_GF_UNMAPPED,high_PA_UNMAPPED
SRR22709827	4622393.0	1394733.6084630059	4858213.928979517	472	ok
SRR22709828	4420736.0	1277928.6977173185	4868729.451441651	123	ok
SRR22709829	5700515.0	1699720.4366275826	8703698.87005581	401	ok
SRR22709830	5425739.0	1264204.624354774	2386101.9704701323	168	ok
SRR22709831	6568995.0	1608937.4610812673	4993806.345931573	117	ok
SRR22709832	4120217.0	1298788.6709316631	6710901.313505904	314	ok
SRR22709833	4405039.0	1204794.7734994655	5667218.792623301	144	ok
SRR22709834	3795911.0	1144799.3829656856	4828987.412569156	519	ok
SRR22709835	4483215.0	1201162.7505898743	3920268.402826943	157	ok
SRR22709836	5874969.0	1432398.1473686392	4687869.255526795	320	ok
SRR22709837	7520509.0	1709830.385237663	2877781.37369198	25	borderline_low_pathways,high_GF_UNMAPPED
SRR22709838	4727305.0	1423562.451982305	3534580.716805974	426	ok
SRR22709839	6070083.0	1313983.4120938643	3512395.521337256	102	ok
SRR22709840	5927953.0	2021875.4698982262	11889130.087770343	117	high_PA_UNMAPPED,high_PA_UNINTEGRATED
SRR22709841	5767481.0	1259648.822007454	3785939.86789754	140	ok
SRR22709842	6138799.0	1276785.9751711483	2215712.335596329	59	ok
SRR22709843	4123324.0	1028927.9179574021	3150584.375366787	163	ok
SRR22709844	7214942.0	1511835.3761786467	2480135.629682193	69	ok
SRR22709845	5632736.0	1762175.5992204198	4196858.946909392	253	ok
SRR22709846	5430350.0	1063418.870097713	3001929.9257886927	157	ok
SRR22709847	4635027.0	1284863.220984259	1667059.696756215	127	ok
SRR22709848	4650230.0	971088.4033667322	1784269.4542566233	142	ok
SRR22709849	6370049.0	1532412.080334676	2364912.75217636	86	ok
SRR22709850	4662371.0	1171983.8954471594	5597372.768575807	505	ok
SRR22709851	6149373.0	1685106.188274487	7328404.314079601	134	ok
SRR22709852	4627831.0	1110693.1274776617	5430251.098301405	134	ok
SRR22709853	5893316.0	1612912.1931524356	6152700.918475734	185	ok
SRR22709854	7874015.0	1233763.6251862491	3429575.11067846	19	borderline_low_pathways,high_GF_UNMAPPED
SRR22709855	5483100.0	1412463.834369488	4646496.3692031	160	ok
SRR22709856	4162419.0	937584.7644430255	2149577.131095406	127	ok
SRR22709857	3556806.0	1083406.2756778777	3657154.22031922	521	ok
SRR22709858	6167430.0	1784098.4047012792	5553070.534926166	352	ok
SRR22709859	4315156.0	1006394.2002328163	2449940.2581978166	99	ok
SRR22709860	5473994.0	1584956.718936462	4855752.53101716	217	ok
SRR22709861	8071542.0	2387208.0807479485	7488911.319596571	363	high_GF_UNMAPPED,high_PA_UNMAPPED
SRR22709862	5214684.0	1386259.4560996844	3322932.887495908	296	ok
SRR22709863	6393895.0	1476069.282077954	4560915.498108193	66	ok
SRR22709864	3473591.0	1114682.111018306	4668107.387790621	351	ok
SRR22709865	4044919.0	1107473.9666961643	4457124.875507159	485	ok
SRR22709866	3127169.0	954679.2270297088	5473932.639397437	460	ok
SRR22709867	3810433.0	863787.5453687772	4434924.599741095	80	ok
SRR22709868	1648273.0	0.0	0.0	0	hard_low_pathways
SRR22709869	5476688.0	1815090.2953453404	8308752.763389031	534	ok
SRR22709870	3712747.0	739735.0486765682	2620156.647057026	14	borderline_low_pathways
SRR22709871	4985409.0	1049072.6619752164	4987251.458728256	226	ok
SRR22709872	5352952.0	1304556.6188660646	2571687.3543099565	95	ok
SRR22709873	4555993.0	1117608.2164316697	5320296.760090721	481	ok
SRR22709874	4334416.0	1086788.228408304	2963363.5871767383	138	ok
SRR22709875	4362864.0	1312269.0854196416	5898573.882662158	82	ok
SRR22709876	4357464.0	1294490.2029461975	3422491.352123723	318	ok
SRR22709877	3736973.0	628394.8085210372	1934504.8548385256	125	ok
SRR22709878	5473724.0	1795635.6337643585	4063268.6503703548	216	ok
SRR22709879	4394203.0	1288739.7129012358	7337506.7424280895	202	ok
SRR22709880	5306218.0	1153570.3084638144	2872317.62035629	129	ok
SRR22709881	4008403.0	1123888.821549839	4389639.132419518	40	ok
SRR22709882	5921540.0	824258.3545274887	3197976.587522258	6	hard_low_pathways
SRR22709883	3939919.0	1052633.6120203296	1286735.4201345278	77	ok
SRR22709884	4016556.0	1191716.508984797	6656274.435616002	280	ok
SRR22709885	5224096.0	1561370.2127025595	6379728.003253926	227	ok
SRR22709886	6688737.0	0.0	0.0	0	hard_low_pathways
SRR22709887	904390.0	48109.1784516279	57343.8119844039	9	hard_low_pathways
SRR22709888	4738333.0	781532.4954277358	2867188.5180174923	377	ok
SRR22709889	5254360.0	834111.9931896108	1882824.8385771043	12	hard_low_pathways
SRR22709890	5720868.0	1872867.8607787339	6741403.810886404	747	ok
SRR22709891	6075260.0	1288490.6367009147	2996394.115476319	69	ok
SRR22709892	5364139.0	1323113.1118424067	5637021.240672836	145	ok
SRR22709893	6114204.0	874046.5627332142	2174677.1298016445	15	borderline_low_pathways
SRR22709894	4613318.0	1352359.5283475518	6526835.314633899	164	ok
SRR22709895	4700143.0	1194516.468729646	4070410.5082390443	43	ok
SRR22709896	4670296.0	1262825.6688326823	2845452.074720333	28	borderline_low_pathways
SRR22709897	5764727.0	1706150.4529800888	5919328.60935836	277	ok
SRR22709898	4999819.0	1377254.3092037176	5679615.851427117	179	ok
SRR22709899	5601105.0	1492414.746589779	4073322.0138559155	147	ok
SRR22709900	5062203.0	928583.8550755358	3712390.4043003903	138	ok
SRR22709901	7170507.0	1702113.7310172983	4577022.096088305	160	ok
SRR22709902	4127013.0	1050478.752988201	3967246.1951162824	306	ok
SRR22709903	5958770.0	1510781.727561619	4443361.41541897	224	ok
SRR22709904	4945950.0	1457530.0137825403	6540393.845864695	292	ok
SRR22709905	4590943.0	1325129.3852771071	5194743.07125628	193	ok
SRR22709906	5269345.0	1313162.3790463612	2725126.8356162193	59	ok
SRR22709907	5948507.0	1227926.7557510065	1724619.1984074868	17	borderline_low_pathways
SRR22709908	5330423.0	1218774.4899402047	6599660.709553449	134	ok
SRR22709909	3587159.0	881809.2260780158	3091313.779856291	303	ok
SRR22709910	6223363.0	1264762.129020627	3354646.074195596	13	borderline_low_pathways
SRR22709911	4188777.0	1097705.3224066969	3238497.9652217226	98	ok
SRR22709912	4605440.0	1191732.665018836	1758186.250671089	127	ok
SRR22709913	4723028.0	1141835.82027457	1449185.2219623541	39	ok
SRR22709914	5474493.0	1188092.32498785	1918931.7908040846	152	ok
SRR22709915	3897507.0	1048217.8227838881	5349144.273529774	375	ok
SRR22709916	5022809.0	1145328.3151965505	2635904.5827542096	54	ok
SRR22709917	7027199.0	1789815.9483749138	5743726.132250642	195	ok
SRR22709918	4623313.0	1480539.9082521554	9855283.95830145	298	ok
SRR22709919	6646557.0	1178232.4664313116	3452791.845884811	58	ok
SRR22709920	4262815.0	1292340.3577954299	4491151.514782766	131	ok
SRR22709921	4407870.0	1162384.061539553	4302638.359285388	622	ok
SRR22709922	8752693.0	2553090.629086604	2466019.852698771	71	high_GF_UNMAPPED,high_PA_UNMAPPED
SRR22709923	4680493.0	709740.8837610842	1919787.1639840265	36	ok
SRR22709924	3835505.0	943124.6079609315	2880164.984500438	191	ok
SRR22709925	6898274.0	1694896.718343486	4434593.6589581985	153	ok
SRR22709926	4875525.0	1057800.9049253229	3718492.8366565364	209	ok
SRR22709927	4859819.0	1428547.7998903082	3407662.0192218223	348	ok
SRR22709928	5974332.0	1702070.8183939275	5596855.5680697765	353	ok
SRR22709929	4244618.0	1180431.905842026	3591783.07502666	381	ok
SRR22709930	3488021.0	751286.8172366762	1233941.0572013003	12	hard_low_pathways
SRR22709931	4485279.0	918899.8138678619	9854116.07973298	36	ok
SRR22709932	4669263.0	1426556.5588011092	3931956.075697786	140	ok
SRR22709933	5854949.0	1845350.5285700494	10276414.780100675	350	high_PA_UNINTEGRATED
SRR22709934	4104521.0	1127048.9466971396	6987340.258147759	434	ok
SRR22709935	4568610.0	1202871.7624145476	2368637.4154818878	121	ok
SRR22709936	4495278.0	726850.290908859	2356356.976733737	16	borderline_low_pathways
SRR22709937	4661501.0	1082503.010770797	2524497.5720200017	27	borderline_low_pathways
SRR22709938	5569127.0	1279141.6955568376	3954460.192180493	111	ok
SRR22709939	3901836.0	1221248.3337824764	6099049.78324793	704	ok
SRR22709940	5435718.0	1510477.0337842726	4638775.287645912	124	ok
SRR22709941	5403856.0	1276755.077460703	2023334.4196092503	18	borderline_low_pathways
SRR22709942	4885069.0	1206751.6143983277	7043855.5138346255	336	ok
SRR22709943	4985924.0	1368473.1621322692	5710319.589839056	329	ok
SRR22709944	5236078.0	1396989.4155631296	3829597.3249353827	168	ok
SRR22709945	4371848.0	1199948.829273384	3072618.875263527	73	ok
SRR22709946	3280666.0	1097413.4654931515	3567890.4909496587	447	ok
SRR22709947	5548830.0	1168245.5474836363	2820966.666961872	79	ok
SRR22709948	3769862.0	1078458.3261734908	5255983.759637381	228	ok
SRR22709949	4081378.0	976544.1938206258	4834442.748060406	196	ok
SRR22709950	4839978.0	1469407.8056315111	6362429.430316105	315	ok
SRR22709951	4531254.0	1294954.0872730466	3209264.935399528	637	ok
SRR22709952	4732716.0	1245014.286056365	2165270.825796142	141	ok
SRR22709953	4244963.0	1122294.0003646833	2010808.586639926	182	ok
SRR22709954	5649241.0	1415005.5905483158	6456819.409806851	190	ok
SRR22709955	5886160.0	1289959.3601188841	4171118.3414051603	32	ok
SRR22709956	4430598.0	1355271.796071219	6606641.997430684	325	ok
SRR22709957	4297482.0	1047360.6622262017	3011598.9889721265	370	ok
SRR22709958	4643529.0	1374799.912083819	5579521.839842519	317	ok
SRR22709959	7064196.0	1712557.909841163	3685754.443353124	111	ok
SRR22709960	4956320.0	925663.9261698426	1553967.5402230218	124	ok
