pathway_model,metabolite,n_samples,spearman_rho,p_value,q_value_FDR,significant_p_0_05,significant_FDR_0_05
CORE_ASDO_var2,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",193,0.2356786674198492,0.0009686204208286174,0.058312252767392735,True,False
CORE_TAL,"3,4-dihydroxyphenylacetate",193,0.23531668065443226,0.000986773318503755,0.058312252767392735,True,False
CORE_EMP2,dehydrolithocholate,193,0.2352839057742642,0.0009884322451869513,0.058312252767392735,True,False
CORE_ASMO,N-acetyl-aspartyl-glutamate (NAAG),193,0.23512587778630742,0.0009964669712252906,0.058312252767392735,True,False
CORE_ASDO,trimethylamine N-oxide,193,0.23500612437250076,0.0010025955828004297,0.058312252767392735,True,False
CORE_ASDO_var2,trimethylamine N-oxide,193,0.23500612437250076,0.0010025955828004297,0.058312252767392735,True,False
CORE_EMP_alt,gamma-glutamylmethionine,193,0.23484666068799312,0.0010108101877228908,0.05831970459085991,True,False
CORE_EMP2,5-methylthioadenosine (MTA),193,-0.234587927072195,0.0010242701772157612,0.05862727395301643,True,False
CORE_EMP2,mevalonate,193,-0.23373651247262434,0.0010697332733347604,0.0607473729707897,True,False
CORE_ASMO,2-piperidinone,193,0.2333616845249498,0.001090329085001027,0.06143322938302661,True,False
CORE_EMP_alt,gamma-glutamylisoleucine*,193,0.23282028939792426,0.0011207200983011998,0.06148459836437168,True,False
CORE_ASMO,"12,13-DiHOME",193,0.23257867272127875,0.001134532299127365,0.06148459836437168,True,False
CORE_EMP1,gamma-glutamylmethionine,193,0.23224166385205636,0.0011540584895743883,0.06148459836437168,True,False
CORE_ASMO,deoxycholate,193,0.23196966354064574,0.0011700422997668535,0.06148459836437168,True,False
CORE_EMP1,coprostanol,193,0.23187175818100475,0.0011758451020025932,0.06148459836437168,True,False
CORE_ASMO,glycochenodeoxycholate,193,0.2317231598246752,0.0011847028772813786,0.06148459836437168,True,False
CORE_ASDO,taurodeoxycholate,193,0.23162021799619492,0.0011908749378912388,0.06148459836437168,True,False
CORE_ASDO_var2,taurodeoxycholate,193,0.23162021799619492,0.0011908749378912388,0.06148459836437168,True,False
CORE_EMP1,gamma-glutamylphenylalanine,193,0.23154378519027222,0.0011954766535063922,0.06148459836437168,True,False
CORE_ASMO,taurochenodeoxycholate,193,0.2314814895149002,0.0011992392774081027,0.06148459836437168,True,False
CORE_EMP2,3-hydroxy-3-methylglutarate,193,-0.23134114096469205,0.001207756055965927,0.06148459836437168,True,False
CORE_ASDO,ribonate,193,0.23132388676843607,0.0012088069106882418,0.06148459836437168,True,False
CORE_ASDO_var2,ribonate,193,0.23132388676843607,0.0012088069106882418,0.06148459836437168,True,False
CORE_ASMO,2-isopropylmalate,193,0.23106581658208716,0.0012246248135005786,0.06148459836437168,True,False
CORE_EMP2,valylleucine,193,-0.23046645478339833,0.0012620959106812405,0.06148459836437168,True,False
CORE_ASDO,"3,4-dihydroxyphenylacetate",193,0.23035758928661365,0.0012690136534018708,0.06148459836437168,True,False
CORE_ASDO_var2,"3,4-dihydroxyphenylacetate",193,0.23035758928661365,0.0012690136534018708,0.06148459836437168,True,False
CORE_ASMO,arabinose,193,0.22978496394027959,0.001305975665019152,0.06148459836437168,True,False
CORE_EMP,gamma-glutamylalanine,193,0.22973291596542814,0.0013093836768884278,0.06148459836437168,True,False
CORE_EMP2,gamma-glutamyl-epsilon-lysine,193,-0.22972957746715975,0.0013096025536539593,0.06148459836437168,True,False
CORE_TAL,choline,193,0.22972328991593122,0.0013100148655430795,0.06148459836437168,True,False
CORE_TAL,threonate,193,0.22955983640943778,0.0013207752708910153,0.06148459836437168,True,False
CORE_EMP2,alpha-hydroxyisovalerate,193,-0.2292946423802147,0.0013384056709036087,0.06148459836437168,True,False
CORE_ASMO,taurocholate,193,0.229267789477361,0.0013402028400179235,0.06148459836437168,True,False
CORE_ASDO,N-acetylhistamine,193,0.22915422682258407,0.0013478276324640876,0.06148459836437168,True,False
CORE_ASDO_var2,N-acetylhistamine,193,0.22915422682258407,0.0013478276324640876,0.06148459836437168,True,False
CORE_ASDO,3-dehydrocholate,193,0.22914649644272952,0.0013483481040054578,0.06148459836437168,True,False
CORE_ASDO_var2,3-dehydrocholate,193,0.22914649644272952,0.0013483481040054578,0.06148459836437168,True,False
CORE_TAL,arabinose,193,0.22848893632392647,0.0013932996198652218,0.06148459836437168,True,False
CORE_TAL,lactate,193,0.2284768357579885,0.0013941395260103173,0.06148459836437168,True,False
CORE_ASDO,androsterone sulfate,193,0.2284147824701039,0.0013984539575462034,0.06148459836437168,True,False
CORE_ASDO_var2,androsterone sulfate,193,0.2284147824701039,0.0013984539575462034,0.06148459836437168,True,False
CORE_ASDO,3-methylglutarate/2-methylglutarate,193,-0.22839407280355045,0.0013998965723052222,0.06148459836437168,True,False
CORE_ASDO_var2,3-methylglutarate/2-methylglutarate,193,-0.22839407280355045,0.0013998965723052222,0.06148459836437168,True,False
CORE_EMP2,N-formylmethionine,193,-0.2283648710004807,0.0014019330541070363,0.06148459836437168,True,False
CORE_ASMO,malonate,193,0.22832527526923846,0.0014046987187340077,0.06148459836437168,True,False
CORE_TK_var1,linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,193,-0.22817717577237095,0.00141508740737586,0.06148459836437168,True,False
CORE_ASMO,guanidinoacetate,193,0.22817553489761166,0.0014152029018976288,0.06148459836437168,True,False
CORE_TAL,"2,3-dihydroxyisovalerate",193,0.2277478717021897,0.0014456000445962367,0.06242914683609616,True,False
CORE_ASMO,N-acetylglucosaminylasparagine,193,0.22701542219025792,0.0014990506669315768,0.06435210363041984,True,False
CORE_EMP1,gamma-glutamylisoleucine*,193,0.22673552922148374,0.0015199485231930923,0.06486312869389693,True,False
CORE_EMP2,N-acetylphenylalanine,193,-0.2265554056941403,0.0015335376596596585,0.06505808000862033,True,False
CORE_EMP_alt,gamma-glutamylphenylalanine,193,0.226236673653885,0.0015578562223415944,0.0657032694475297,True,False
CORE_EMP2,lysylleucine,193,-0.225570549115966,0.0016098213837177804,0.06735077620025767,True,False
CORE_ASMO,valylglutamine,193,0.22549773264487083,0.0016155968223300857,0.06735077620025767,True,False
CORE_ASDO,genistein,193,0.2245289765749411,0.0016942551198786157,0.06982267385465472,True,False
CORE_ASDO_var2,genistein,193,0.2245289765749411,0.0016942551198786157,0.06982267385465472,True,False
CORE_ASDO,creatine,193,0.2237609984773725,0.001759077511304923,0.07022413678098084,True,False
CORE_ASDO_var2,creatine,193,0.2237609984773725,0.001759077511304923,0.07022413678098084,True,False
CORE_ASDO,phytosphingosine,193,0.22371213276276167,0.0017632776671787547,0.07022413678098084,True,False
